,name,main_category,sub_category,brand,number,tags,price,rating,rating_num,season,gender,like,view,sale,coordi,age18,age19_23,age24_28,age29_33,age34_39,age40,man,woman,img
0,레이어드 크루 넥 반팔 티셔츠_긴 기장 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MMJTS113-WH,"['기본티셔츠', '라운드넥', 'MU-T', '레귤러핏', '베이직티', '무지티', '무탠픽업', '서머아이템기획전']","13,900원",4.7,44302,,['남'],"69,869",1.5만 회 이상,14.3만 개 이상,"['캐주얼', '스포츠', '댄디']",42%,23%,14%,8%,6%,7%,80%,20%,https://image.msscdn.net/images/goods_img/20200402/1382658/1382658_5_500.jpg?t=20210705133843
1,에센셜 쿨 코튼 2-PACK 티셔츠,상의,반소매 티셔츠,COVERNAT,CO0000STE1BK,"['반팔티셔츠', '티셔츠', '반팔티', '오버핏반팔', '에센셜라인', '쿨코튼', '썸머컬렉션', '로고티셔츠', '입시덕후', '깡스타일리스트PICK']","49,000원",4.8,32541,2022 S/S,"['남', '여']","126,528",41.9만 회 이상,12.6만 개 이상,"['걸리시', '아메리칸 캐주얼', '캐주얼']",37%,21%,19%,11%,4%,8%,64%,36%,https://image.msscdn.net/images/goods_img/20210316/1848166/1848166_11_500.jpg?t=20220404173105
2,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MITS0005-WH,"['기본티', '라운드넥', '무지티', '반팔티', 'MU-T', '홈웨어컬렉션', '유아인착장상품', '베이식']","11,900원",4.8,159295,,['남'],"61,698",11.6만 회 이상,12.7만 개 이상,"['댄디', '캐주얼']",28%,26%,21%,12%,6%,7%,80%,20%,https://image.msscdn.net/images/goods_img/20190327/996177/996177_3_500.jpg?t=20201109162820
3,레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MMATS701-WH,"['레귤러핏', '베이직티', '무지티', '기본티셔츠', '라운드넥', 'MU-T', '무탠픽업', '무지', '반소매티셔츠']","13,900원",4.9,20454,2021 F/W,['남'],"31,510",2.7만 회 이상,9.3만 개 이상,"['스포츠', '캐주얼']",32%,29%,17%,9%,5%,8%,83%,17%,https://image.msscdn.net/images/goods_img/20210825/2086653/2086653_1_500.jpg?t=20210930122911
4,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],상의,반소매 티셔츠,MUSINSA STANDARD,MITS0005-BK,"['기본티', '라운드넥', '루즈핏', '면티셔츠', '무지티', '반팔티', 'MU-T', '홈웨어컬렉션']","11,900원",4.8,159295,,['남'],"27,400",5만 회 이상,6.3만 개 이상,"['댄디', '캐주얼']",22%,24%,25%,15%,7%,7%,83%,17%,https://image.msscdn.net/images/goods_img/20190327/996178/996178_3_500.jpg?t=20201109160345
5,미시간 울버린 피그먼트  반팔티 블랙차콜,상의,반소매 티셔츠,TRAVEL,TRTOASURS12UC5,"['라운드티', '반팔', '반팔티', '반팔티셔츠', '티셔츠', '그래픽티셔츠', '그래픽']","39,000원",4.8,17284,ALL S/S,"['남', '여']","82,783",19.6만 회 이상,6만 개 이상,"['스트릿', '캐주얼']",34%,28%,19%,9%,3%,7%,63%,37%,https://image.msscdn.net/images/goods_img/20210407/1884943/1884943_1_500.jpg?t=20210409104606
6,[패키지] NYC LOCATION T-SHIRT (16COLOR) [LRQMCTA401M],상의,반소매 티셔츠,GROOVE RHYME,LRQMCTA401M,"['로고', '맨투맨', '반팔티', '오버사이즈', '오버핏', '티셔츠', '패키지']","58,000원",4.8,34213,ALL S/S,"['남', '여']","78,367",9.6만 회 이상,5.3만 개 이상,"['스포츠', '캐주얼']",34%,24%,18%,9%,5%,10%,57%,43%,https://image.msscdn.net/images/goods_img/20200424/1420730/1420730_1_500.jpg?t=20210325094210
7,빅 트위치 로고 티셔츠 화이트,상의,반소매 티셔츠,LEE,LE2202ST01WH,"['로고', '반팔티', '빅로고', 'LEE반팔티', '트위치', '남녀공용', '그래픽']","35,000원",4.8,47389,ALL ALL,['남'],"106,201",13.6만 회 이상,5.2만 개 이상,['캐주얼'],53%,21%,10%,3%,2%,11%,47%,53%,https://image.msscdn.net/images/goods_img/20181112/903340/903340_7_500.jpg?t=20210528101751
8,021541 레이어드 반팔 티셔츠(2pck),상의,반소매 티셔츠,GIORDANO,021541,"['기본티셔츠', '티셔츠', '베이직티셔츠', '긴팔티', '긴팔티셔츠', '레이어드티']","19,800원",4.8,12861,2021 S/S,['남'],"12,929",5천 회 이상,4.6만 개 이상,"['스트릿', '댄디']",24%,32%,22%,11%,5%,6%,87%,13%,https://image.msscdn.net/images/goods_img/20210225/1815503/1815503_3_500.jpg?t=20210226134947
9,(22SS) 2 TONE ARCH TEE WHITE,상의,반소매 티셔츠,YALE,YC2SS0041WH,"['그래픽티셔츠', '오버핏반팔', '반팔티', '로고', '아이비리그', '그래픽', '최현욱착용']","39,000원",4.9,9808,2022 S/S,"['남', '여']","64,287",25.4만 회 이상,4.2만 개 이상,['캐주얼'],44%,25%,13%,6%,2%,10%,58%,42%,https://image.msscdn.net/images/goods_img/20210312/1841764/1841764_3_500.jpg?t=20220413132105
